"iter","ret.1","ret.2","ret.3","ret.4","ret.5","ret.6","ret.7","ret.8","ret.9"
1,0.0032346685572492,0.0165721375398795,0.0146292585170341,0.224851767990074,0.704502733061698,0.659023190584209,1164804.14746544,988419.85322225,968551.698515994
2,0.00327433628318584,0.0171681415929204,0.0148356054530874,0.227466455752212,0.709179310196163,0.663299182375823,1139141.59292035,980383.763300402,946018.47815014
3,0.00289017341040462,0.0140506891951979,0.012815378454145,0.22470880391285,0.702761833533749,0.657827945530487,918236.994219653,846944.017472048,852205.478660405
4,0.00301685891748004,0.0154835847382431,0.013627254509018,0.225060035492458,0.703444108768791,0.658745032247001,1058676.13132209,981538.432667724,949585.3166933
5,0.0032315183709606,0.015095174856131,0.0146468699839486,0.226145644090305,0.707345851690115,0.661923994494852,1159468.79150066,1071976.99234644,1118566.16762257
6,0.00247809540667316,0.0129214974776529,0.0112291959093643,0.225920130100009,0.707034929418629,0.660101110992587,668639.702628551,595015.899848841,569575.400280231
7,0.00292916740635541,0.0147789810047932,0.0128333667535593,0.225608152849281,0.704406311330236,0.660017340629567,1015395.8814131,1083587.17423341,946305.444596539
8,0.00288850375505488,0.015731235835222,0.0130234421959527,0.224865537928276,0.70292332755372,0.657105906084203,910514.1536684,835703.054726419,756179.02736288
9,0.00284002662524961,0.0145995118704238,0.0128488255370408,0.22584346128245,0.706600522781672,0.659769117151191,905258.486798314,803887.611065339,783933.386689992
10,0.00285255838830451,0.0144410768407916,0.0128436684728075,0.227446657158139,0.707205079036754,0.662110485226265,854683.544303798,715228.506135744,705183.763557226
11,0.00342816437380348,0.0169182137927964,0.0148475120385233,0.226706682694448,0.705487996443689,0.659426733240319,1126529.09487556,1040598.64315827,923566.17280575
12,0.00359712230215827,0.0183852917665867,0.0158380112269447,0.226991158184563,0.707271996751305,0.66113379254711,1428165.4676259,1531812.34858492,1275501.64363328
13,0.00382273191981153,0.0186691558874517,0.0168269230769231,0.227480006223052,0.707658326781967,0.660113826455885,1703027.07027604,1751143.17424181,1625660.7408779
14,0.0034443168771527,0.0167358473902676,0.0156312625250501,0.226861962377462,0.708362426917366,0.663724866443454,1287554.53501722,1092043.10269655,1139763.72840856
15,0.00314535064014531,0.0162140610463828,0.0142341619887731,0.225848389669074,0.705326624233364,0.660998738558586,1147235.1924866,1077291.38105277,1026288.27581548
16,0.00257183398368216,0.0126374600922313,0.0114274258219727,0.224717714615112,0.703813933742763,0.658026305387915,715381.340901029,642210.054923839,621795.152899544
17,0.00354138999557326,0.0171314741035857,0.0158189827793352,0.227312195661797,0.708505326075411,0.662949373488628,1489650.28773794,1440572.10726746,1384194.31624165
